workerId,age,gender,degree,screenSize,familiar,comment,code,endTime
A1TLX0QAGAXNG1,50-59,Male,Bachelors,13,5,"good",zMW087X4,2021-08-13 21:38:13
A3V2XCDF45VN9X,40-49,Male,PhD,23 or larger,6,"none",zMW087X4,2021-08-13 21:43:50
A3AUW27JCGTN1M,25-39,Female,Bachelors,15,5,"good",4Oc36189,2021-08-13 21:48:05
A2LGHM6LX5NK5M,25-39,Female,Bachelors,11,5,"good survey",5S93648j,2021-08-13 21:54:15
A3HRSNL7UUFAZ0,25-39,Male,Masters,15,7,"Nice survey.",4Oc36189,2021-08-13 21:58:53
A8Q3CXMIF3HJ9,25-39,Male,Bachelors,23 or larger,4,"",0VT3pci2,2021-08-13 21:58:58
A2YFQS0N1IAN9I,25-39,Male,Bachelors,17,5,"No comments",zMW087X4,2021-08-13 22:00:46
A3V8EWU6TZWX2U,40-49,Female,Bachelors,15,6,"I REALLY ENJOY THE TASK.",5S93648j,2021-08-13 22:01:14
A27353U3GOR77W,40-49,Female,Bachelors,21,6,"",4Oc36189,2021-08-13 22:08:13
A2Z1EKI1WJRPIW,25-39,Female,Masters,13,7,"This study is very interesting.",5S93648j,2021-08-13 22:14:50
A2V27A9GZA1NR2,40-49,Male,Bachelors,23 or larger,4,"Thank You",4Oc36189,2021-08-13 22:17:56
A2HB9QS3YC3XY,40-49,Male,High School,13,7,"Good Survey",4Oc36189,2021-08-13 22:23:25
A544FPX6FB2OS,18-25,Female,High School,unsure,1,"",5S93648j,2021-08-13 22:24:28
A1FJDW88RVU39U,40-49,Male,Bachelors,9 or smaller,5,"None",0VT3pci2,2021-08-13 22:25:09
A2BABL5AHUOYC7,25-39,Male,Bachelors,15,7,"engaging survey",4S38975i,2021-08-13 22:33:44
A2I4QYINF6WSY5,25-39,Female,Bachelors,19,6,"good",5S93648j,2021-08-13 22:56:13
A1BISRD579W10W,25-39,Male,Bachelors,15,4,"Good",0VT3pci2,2021-08-13 23:20:18
A1NFBKUYYVUYWF,50-59,Female,Masters,23 or larger,4,"I sometimes wondered if I was starting to try to hard to differentiate between the colors. ",4S38975i,2021-08-13 23:21:04
A3PYD7EU2WFST6,25-39,Male,Bachelors,15,3,"the study was interesting and somewhat challenging",5S93648j,2021-08-13 23:29:05
A1GCPUVJUJ27HT,40-49,Male,Masters,15,7,"IT IS VERY INTERESTING",4S38975i,2021-08-13 23:36:13
A3M565LUH3OHT3,25-39,Male,Masters,13,6,"I was enjoy this experiment.",0VT3pci2,2021-08-13 23:45:39
A26RO8GGTQAXGG,50-59,Female,Bachelors,17,5,"no",0VT3pci2,2021-08-13 23:56:27
A12RFWYHO83Y7M,50-59,Female,Masters,15,4,"Good",4S38975i,2021-08-14 01:21:10
A49A0FF6ZXYDU,50-59,Female,Bachelors,13,2,"headache inducing",4S38975i,2021-08-14 04:46:13
A198MSVO1VTAT5,60+,Female,Bachelors,15,4,"",0VT3pci2,2021-08-14 08:15:21
A112Z00MCKPS6F,25-39,Female,Bachelors,13,6,"",4S38975i,2021-08-14 16:36:11
AEUD4STM0TYB,25-39,Male,Bachelors,23 or larger,2,"",zMW087X4,2021-08-15 17:02:17
A2KQ8WXQZKBAAK,25-39,Female,Masters,21,6,"very interesting",4Oc36189,2021-08-15 17:10:28
A1D6AD1CZ6RG1,18-25,Male,Masters,15,6,"very nice",zMW087X4,2021-08-15 17:40:24
A3Q8JWXRXCEEEY,25-39,Female,Bachelors,11,6,"NICE",5S93648j,2021-08-15 17:43:16
A12TFFS6M9TOVF,25-39,Male,High School,unsure,4,"",0VT3pci2,2021-08-15 17:45:47
A10JXOU89D5RXR,60+,Female,Bachelors,15,5,"",zMW087X4,2021-08-15 17:46:23
A3UP4PP3ZF1J39,25-39,Male,Bachelors,unsure,5,"none.",zMW087X4,2021-08-15 17:47:03
A2R7C5AFF8YRBD,25-39,Male,Bachelors,15,6,"Really cool task!",zMW087X4,2021-08-15 17:49:11
A1LL63N32LV7K2,25-39,Female,Bachelors,13,4,"",4Oc36189,2021-08-15 17:52:27
A8V0L2YF8U6OX,25-39,Female,Bachelors,13,6,"",4S38975i,2021-08-15 17:53:09
ABFK3Q1TJ9AZS,25-39,Female,Bachelors,19,3,"very interesting",4Oc36189,2021-08-15 17:53:31
A34U4186EW0B9X,40-49,Male,Unspecified,23 or larger,3,"",4Oc36189,2021-08-15 17:54:18
A2XV1OY08VEI1A,25-39,Female,Bachelors,15,7,"very interesting",5S93648j,2021-08-15 17:57:03
A25LYN8G21HJ6I,25-39,Female,Bachelors,19,5,"GOOD",5S93648j,2021-08-15 17:59:07
A1V2H0UF94ATWY ,60+,Male,High School,21,5,"na",0VT3pci2,2021-08-15 18:06:18
A2F78ZTBUDUS1G,40-49,Female,Bachelors,15,6,"Interesting task",4Oc36189,2021-08-15 18:06:20
AIHUIAQ4922K3,25-39,Male,Bachelors,15,4,"",5S93648j,2021-08-15 18:07:32
A2EADI8XF4T0RP,25-39,Male,Bachelors,21,6,"good job",5S93648j,2021-08-15 18:08:20
A2FDLK891NYWLV,25-39,Female,Bachelors,13,7,"good task",0VT3pci2,2021-08-15 18:08:50
A8JFRH701TF2Z,18-25,Female,Bachelors,15,7,"NO",0VT3pci2,2021-08-15 18:10:24
A1MT1ZJR1CK533,18-25,Female,Bachelors,unsure,6,"This study was very interesting for me.",4S38975i,2021-08-15 18:14:47
A3T197A103S6J6,25-39,Female,Bachelors,21,7,"",0VT3pci2,2021-08-15 18:18:09
ABG76D6AQL5I9,40-49,Female,Masters,21,5,"",IX5wD380,2021-08-15 18:21:12
A2C15MVXWWOHQR,40-49,Female,Bachelors,15,5,"good and interesting",4S38975i,2021-08-15 18:25:37
A594EC0LQ8BUE,40-49,Female,Bachelors,unsure,6,"",IX5wD380,2021-08-15 18:27:30
A2FGP5K2VWW23G,50-59,Female,Masters,13,5,"",4S38975i,2021-08-15 18:31:19
A3578JMEDCD1FB,18-25,Female,Bachelors,unsure,7,"this one is very easy and interesting.",zMW087X4,2021-08-15 18:31:59
ARLDAE8OS9YE9,40-49,Female,Bachelors,15,7,"",4Oc36189,2021-08-15 18:34:57
A2DX92A38GBMSY,40-49,Male,Bachelors,21,5,"none",4S38975i,2021-08-15 18:38:53
A3AFSO30171MWZ,25-39,Male,Bachelors,13,6,"Good Experience Learn lot of things",IX5wD380,2021-08-15 18:42:05
A38C4RKZTI9WNM,40-49,Female,Bachelors,21,5,"none",5S93648j,2021-08-15 18:49:39
A1RGK9WQRV42K9,50-59,Female,Bachelors,13,7,"none",T8au0dcV,2021-08-15 18:49:55
A2AKJ3UD69QC5K,25-39,Male,Masters,15,6,"good",Apgfwzd9,2021-08-15 18:51:20
A3VHYPTSQR2HG5,40-49,Female,Other,23 or larger,7,"GOOD",IX5wD380,2021-08-15 18:53:21
A3ENCMZ40AODOX,25-39,Female,Masters,unsure,7,"interesting",T8au0dcV,2021-08-15 19:04:17
A2HNNUPEOHS3PU,25-39,Male,Masters,15,6,"good",T8au0dcV,2021-08-15 19:07:26
AXCWMW6ST2SP7,18-25,Female,Masters,23 or larger,7,"very interesting experiment",0VT3pci2,2021-08-15 19:23:40
A1WJ54G7U8B57Y,18-25,Male,Bachelors,17,6,"Good task",41fLbn3q,2021-08-15 19:27:02
A2YC6PEMIRSOAA,25-39,Female,High School,unsure,4,"",Apgfwzd9,2021-08-15 19:35:29
AFYPWB8A9LP0R,50-59,Male,Bachelors,15,6,"this survey is excited",T8au0dcV,2021-08-15 19:53:35
A2ML0070M8FDK1,60+,Female,High School,19,3,"no",41fLbn3q,2021-08-15 20:02:00
A38OPVI04AH4JG,50-59,Male,Bachelors,23 or larger,5,"",Y2Z9VBf3,2021-08-15 20:24:02
A3QOMMIZTW0XF1,25-39,Male,High School,17,5,"",Y2Z9VBf3,2021-08-15 20:27:20
A2S1CTTMLZIMVV,25-39,Male,Masters,15,6,"GOOD",4S38975i,2021-08-15 20:30:33
AXPZAP62ZYWP8,18-25,Male,High School,23 or larger,4,"some were very hard to find changes",408762lU,2021-08-15 20:31:10
A1YFFRRABDKJU5,25-39,Male,Masters,15,7,"Is the good study easy task",IX5wD380,2021-08-15 20:32:03
A2WWYVKGZZXBOB,25-39,Male,Bachelors,unsure,1,"",T8au0dcV,2021-08-15 20:32:20
A248QG4DPULP46,60+,Female,Bachelors,17,1,"",514EHI0y,2021-08-15 20:37:50
ALJ70B2J04YR7,50-59,Female,Masters,15,6,"Thanks for something different!",Apgfwzd9,2021-08-15 20:38:59
A2WV4ZZCI7982H,25-39,Male,Bachelors,15,6,"It was interesting. ",408762lU,2021-08-15 20:39:05
A2PZAY5DMMRUO0,25-39,Male,Masters,11,6,"feel free",Apgfwzd9,2021-08-15 20:42:25
A20X6V1AAXZGNZ,25-39,Male,High School,23 or larger,4,"n/a",67k40W91,2021-08-15 20:44:31
A16K7X677N4WN6,25-39,Male,PhD,17,5,"This was a difficult but fun task.",41fLbn3q,2021-08-15 20:44:41
AYZEM0JFL4BJI,25-39,Male,Masters,15,6,"good",Y2Z9VBf3,2021-08-15 20:53:43
ACB7Y1J58NG7H,25-39,Female,Masters,23 or larger,7,"good",41fLbn3q,2021-08-15 20:55:21
AOD3O9GXSBRGA,25-39,Male,Bachelors,13,5,"interesting",IX5wD380,2021-08-15 20:55:22
A32N01XOZXBSZV,25-39,Female,Masters,19,7,"This survey is interest to do. Thank you.",408762lU,2021-08-15 20:59:41
A2MOKIEQZ0OF2M,50-59,Male,Bachelors,15,5,"Thanks for the survey",Apgfwzd9,2021-08-15 21:04:17
A3TTV3QAC5G9CT,25-39,Male,Bachelors,17,5,"n/a",T8au0dcV,2021-08-15 21:05:00
A3HQA6OP0FX6K3,40-49,Male,Bachelors,unsure,7,"Interesting",41fLbn3q,2021-08-15 21:10:39
A288NRHQNCYYX9,60+,Male,Masters,17,7,"This clusters game is very fun and interesting. ",Y2Z9VBf3,2021-08-15 21:17:42
A14FU403ESVH60,25-39,Female,Masters,17,5,"very good",514EHI0y,2021-08-15 21:30:13
A23YFEZKGMM88N,25-39,Male,Masters,17,6,"nothing",Apgfwzd9,2021-08-15 21:34:11
A3F3YYI8W3IB2A,40-49,Male,Masters,17,6,"I LIKE THIS STUDY",Y2Z9VBf3,2021-08-15 21:34:48
A3F3YYI8W3IB2A,40-49,Male,Masters,17,6,"I LIKE THIS STUDY",408762lU,2021-08-15 21:35:21
A2JY7CBNSSJ3P,25-39,Male,Bachelors,17,7,"This clusters game is very fun and interesting.",41fLbn3q,2021-08-15 21:44:05
AS1ZGA84IM7JD,50-59,Male,Bachelors,15,5,"",67k40W91,2021-08-15 21:48:02
A16XDO6MW9ZKMI,25-39,Male,Bachelors,15,6,"All godo! Thanks!",514EHI0y,2021-08-15 21:48:17
A19VDBNACNJNI8,25-39,Female,Bachelors,19,7,"Interesting study",9WfVobYN,2021-08-15 21:49:42
A37EUJ2M9I0VLE,40-49,Male,Bachelors,15,6,"It was so interesting. ",514EHI0y,2021-08-15 21:54:58
A2B7E98DMHEZIC,40-49,Female,Bachelors,15,4,"Nothing ",Y2Z9VBf3,2021-08-15 22:02:29
A37P8UZ3SAKM7A,50-59,Male,High School,15,4,"",5nz70B32,2021-08-15 22:04:47
A2WHM23M5NAM4W,25-39,Female,Bachelors,11,6,"nothing",408762lU,2021-08-15 22:05:09
A9UCNH9LL0GZL,40-49,Female,Other,21,6,"",9WfVobYN,2021-08-15 22:10:54
A39G13K0578W5Y,25-39,Male,Masters,unsure,7,"good",5nz70B32,2021-08-15 22:12:51
A20GYHACI7W7LY,25-39,Male,Bachelors,15,6,"It was interesting. ",67k40W91,2021-08-15 22:16:46
A1I72NHC21347A,50-59,Female,Other,15,1,"na",638V95q0,2021-08-15 22:24:34
A2FOOVSLFQWZX0,25-39,Female,Bachelors,13,7,"nice",9WfVobYN,2021-08-15 22:29:51
AF5X0GS83NA5P,25-39,Male,Bachelors,23 or larger,7,"",67k40W91,2021-08-15 22:43:00
A6210XH3H6I9H,25-39,Male,Bachelors,23 or larger,7,"",0518o6I7,2021-08-15 23:03:10
A2CSCR6REKBS8R,60+,Male,High School,unsure,1,"",9WfVobYN,2021-08-15 23:13:06
AKDL5Y4YCEXXI,40-49,Male,Bachelors,17,7,"no",514EHI0y,2021-08-15 23:14:01
A1D6AD1CZ6RG1,18-25,Male,PhD,13,6,"i like this survey",408762lU,2021-08-15 23:18:54
A15C7X9O8DJ3ER,25-39,Male,Masters,21,5,"very interesting study.",514EHI0y,2021-08-15 23:44:26
A222GZB608T1B8,18-25,Female,High School,13,1,"More analogous.",l93Virk0,2021-08-15 23:47:00
A1CEO8RFPXMO5W,25-39,Male,Bachelors,17,6,"",67k40W91,2021-08-15 23:48:07
A20N1NK5X5S88F,25-39,Male,High School,9 or smaller,1,"",638V95q0,2021-08-15 23:50:41
AQEH7DY2CZT0O,25-39,Female,Bachelors,13,7,"good",5nz70B32,2021-08-15 23:57:52
A25JIII1SB9NEX,25-39,Male,Masters,15,6,"GOOD",67k40W91,2021-08-16 00:00:16
A18IBIG55GUNMH,40-49,Male,Bachelors,15,4,"Good",0518o6I7,2021-08-16 00:42:26
A1BLNCSZ7GAL4T,40-49,Female,Bachelors,15,1,"It is very interesting and good task.",9WfVobYN,2021-08-16 00:57:35
AZOPG1HK86PCF,18-25,Male,Bachelors,17,4,"very good",l93Virk0,2021-08-16 01:07:10
A5ILXLVXSJRG1,25-39,Female,Bachelors,19,6,"good job.",15J34a82,2021-08-16 01:16:09
A2Q0TXGEYNN9J0,25-39,Male,Bachelors,23 or larger,5,"Nothing",9WfVobYN,2021-08-16 01:36:30
A289D98Z4GAZ28,50-59,Male,Other,23 or larger,3,"",5nz70B32,2021-08-16 01:54:47
A28REIMVLGRV8Z,25-39,Male,Bachelors,15,7,"NO",lsj4E0m2,2021-08-16 02:04:57
ASMKMW64FEBCK,25-39,Male,Bachelors,17,5,"",638V95q0,2021-08-16 02:07:15
A1NWF3QZPGU3Z5,25-39,Male,Masters,21,7,"very interesting study.",5nz70B32,2021-08-16 02:23:51
A25DDYVEO4GFDQ,25-39,Male,Bachelors,15,6,"",0518o6I7,2021-08-16 02:29:21
A15SP6K7XQEXZ0,25-39,Male,Masters,17,6,"I Like the survey very nice ",638V95q0,2021-08-16 02:40:49
A27GTGC4GMC3UE,25-39,Female,Bachelors,15,7,"Nothing",15J34a82,2021-08-16 02:50:02
A10RD7IWL3S1CS,40-49,Female,Bachelors,17,7,"VERY INTERESTING",0518o6I7,2021-08-16 02:53:06
AX8R6XCLVDAJY,60+,Male,Masters,15,6,"like it",5nz70B32,2021-08-16 02:54:28
A3AP7SW6IMS0DO,25-39,Male,Bachelors,23 or larger,5,"like , nice",638V95q0,2021-08-16 03:03:43
A1FR4S8V4MNRVM,40-49,Male,Bachelors,17,6,"GOOD",lsj4E0m2,2021-08-16 03:12:14
A305DUZRELKEL9,60+,Male,Bachelors,15,7,"Good study and very interesting.",0518o6I7,2021-08-16 03:19:38
A2F1AA15HG0FRU,40-49,Male,High School,23 or larger,2,"",638V95q0,2021-08-16 03:29:27
A3MPH1VH48QA0A,25-39,Male,Masters,17,7,"good",l93Virk0,2021-08-16 05:50:11
A1V7K0K31N8KKC,25-39,Male,Masters,13,2,"nothing",15J34a82,2021-08-16 06:56:43
AQY2VLMPDV28K,25-39,Male,Masters,15,3,"GOOD",0518o6I7,2021-08-16 08:03:19
