workerId,age,gender,degree,screenSize,familiar,comment,code,endTime
A1TLX0QAGAXNG1,50-59,Male,Bachelors,13,5,"good",zMW087X4,2021-08-13 21:38:13
A3V2XCDF45VN9X,40-49,Male,PhD,23 or larger,6,"none",zMW087X4,2021-08-13 21:43:50
A3AUW27JCGTN1M,25-39,Female,Bachelors,15,5,"good",4Oc36189,2021-08-13 21:48:05
A2LGHM6LX5NK5M,25-39,Female,Bachelors,11,5,"good survey",5S93648j,2021-08-13 21:54:15
A3HRSNL7UUFAZ0,25-39,Male,Masters,15,7,"Nice survey.",4Oc36189,2021-08-13 21:58:53
A8Q3CXMIF3HJ9,25-39,Male,Bachelors,23 or larger,4,"",0VT3pci2,2021-08-13 21:58:58
A2YFQS0N1IAN9I,25-39,Male,Bachelors,17,5,"No comments",zMW087X4,2021-08-13 22:00:46
A3V8EWU6TZWX2U,40-49,Female,Bachelors,15,6,"I REALLY ENJOY THE TASK.",5S93648j,2021-08-13 22:01:14
A27353U3GOR77W,40-49,Female,Bachelors,21,6,"",4Oc36189,2021-08-13 22:08:13
A2Z1EKI1WJRPIW,25-39,Female,Masters,13,7,"This study is very interesting.",5S93648j,2021-08-13 22:14:50
A2V27A9GZA1NR2,40-49,Male,Bachelors,23 or larger,4,"Thank You",4Oc36189,2021-08-13 22:17:56
A2HB9QS3YC3XY,40-49,Male,High School,13,7,"Good Survey",4Oc36189,2021-08-13 22:23:25
A544FPX6FB2OS,18-25,Female,High School,unsure,1,"",5S93648j,2021-08-13 22:24:28
A1FJDW88RVU39U,40-49,Male,Bachelors,9 or smaller,5,"None",0VT3pci2,2021-08-13 22:25:09
A2BABL5AHUOYC7,25-39,Male,Bachelors,15,7,"engaging survey",4S38975i,2021-08-13 22:33:44
A2I4QYINF6WSY5,25-39,Female,Bachelors,19,6,"good",5S93648j,2021-08-13 22:56:13
A1BISRD579W10W,25-39,Male,Bachelors,15,4,"Good",0VT3pci2,2021-08-13 23:20:18
A1NFBKUYYVUYWF,50-59,Female,Masters,23 or larger,4,"I sometimes wondered if I was starting to try to hard to differentiate between the colors. ",4S38975i,2021-08-13 23:21:04
A3PYD7EU2WFST6,25-39,Male,Bachelors,15,3,"the study was interesting and somewhat challenging",5S93648j,2021-08-13 23:29:05
A1GCPUVJUJ27HT,40-49,Male,Masters,15,7,"IT IS VERY INTERESTING",4S38975i,2021-08-13 23:36:13
A3M565LUH3OHT3,25-39,Male,Masters,13,6,"I was enjoy this experiment.",0VT3pci2,2021-08-13 23:45:39
A26RO8GGTQAXGG,50-59,Female,Bachelors,17,5,"no",0VT3pci2,2021-08-13 23:56:27
A12RFWYHO83Y7M,50-59,Female,Masters,15,4,"Good",4S38975i,2021-08-14 01:21:10
A49A0FF6ZXYDU,50-59,Female,Bachelors,13,2,"headache inducing",4S38975i,2021-08-14 04:46:13
A198MSVO1VTAT5,60+,Female,Bachelors,15,4,"",0VT3pci2,2021-08-14 08:15:21
A112Z00MCKPS6F,25-39,Female,Bachelors,13,6,"",4S38975i,2021-08-14 16:36:11
