Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3HV2XA41Y1CF3NWVPIIPQQJGKI5C6E,2021-08-12 07:41:06 -0700,2021-08-12 11:22:39 -0700,AssignmentPayment,,A17Q4QN6UE0EZC,-2.000,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,33TIN5LC05BL82PYFEAIG2BOP0N9Y9
349EFWT4JI11R9JCW9K6K3LKBSE7RM,2021-08-12 07:41:06 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,33TIN5LC05BL82PYFEAIG2BOP0N9Y9
32JV4H0B1FR271FJIXFNA4F7QDVC80,2021-08-12 07:41:07 -0700,2021-08-12 11:45:14 -0700,AssignmentPayment,,A1WN225VOU6316,-2.000,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,35DR22AR5ELATVA8T9N66B1TN2IX39
300KAMH4M3DE7OW40YP1KIM2ZDB7TZ,2021-08-12 07:41:07 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,35DR22AR5ELATVA8T9N66B1TN2IX39
3VQ20R3PG2VGQP8YFVZ16VL2G1VCA4,2021-08-12 07:41:07 -0700,2021-08-12 13:21:36 -0700,AssignmentPayment,,A37MPP4LBQSTQF,-2.000,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,3LEIZ60CDK0LDSZ3B0C1U9KQVUR9Z0
36VAYMKPYGTTKG0T5TPGL0ANWYR7VF,2021-08-12 07:41:07 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,3LEIZ60CDK0LDSZ3B0C1U9KQVUR9Z0
3SIN1ESMYR0VRO2DKDWHP81Q4E6R2I,2021-08-12 07:41:07 -0700,2021-08-12 14:32:57 -0700,AssignmentPayment,,AXRDY6D16PVVH,-2.000,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,3U4J9857OFCLHB8UQPYEUVMH91H7BG
32K41RBNQVSZXEY7785EU1D05KKMNO,2021-08-12 07:41:07 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,3U4J9857OFCLHB8UQPYEUVMH91H7BG
3Y6BDJDFE866IKX8Y7CHQ127PPGE2S,2021-08-12 07:48:12 -0700,2021-08-12 12:06:02 -0700,AssignmentPayment,,A13WTEQ06V3B6D,-2.000,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,3I02618YA17PJGL0M29QZ75QYGTPUL
3BQ5HQHBE7XKQUFDIZ19PF7G5LD9NC,2021-08-12 07:48:12 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,3I02618YA17PJGL0M29QZ75QYGTPUL
3DN9YG6Z9D8SBG75HW2X1OK1T0S6Z8,2021-08-12 07:48:12 -0700,2021-08-12 13:11:40 -0700,AssignmentPayment,,A1V5LTD5J87JGC,-2.000,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,338JKRMM270DRQ9EXKKUQXR55MIAHG
3D5014L9LRP8I49B0DUEN0IY5KZ2K9,2021-08-12 07:48:12 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,338JKRMM270DRQ9EXKKUQXR55MIAHG
3FRWC3RKV9FZKEH2K0L7QVK9FKAPAV,2021-08-12 07:48:13 -0700,2021-08-12 13:01:07 -0700,AssignmentPayment,,A37EV8RZ82WT8E,-2.000,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,3J4Q2Z4UTZ4NBWBKHF3GH0GXOSQWQI
3XP1SL4QSS5HFV7DONEPP5F92IRKVY,2021-08-12 07:48:13 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,3J4Q2Z4UTZ4NBWBKHF3GH0GXOSQWQI
3G4GLA5B6BUNM4ETDXRIR9AF1HXER8,2021-08-12 07:48:13 -0700,2021-08-12 13:00:20 -0700,AssignmentPayment,,A2BB01M8NATK5V,-2.000,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,3GS6S824SRY28ZYS1NBZD6LSJH3WNV
3VN28V2IDU1F49SRLF6V5ZOOCZIACB,2021-08-12 07:48:13 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,3GS6S824SRY28ZYS1NBZD6LSJH3WNV
3P9WE2CHYDTZXGMJ42J0HOMPKQ4512,2021-08-12 07:48:26 -0700,2021-08-12 12:53:57 -0700,AssignmentPayment,,A2949EJ4EVG6LM,-2.000,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,3RANCT1ZVGINFMKQ3XRP4N01HCEBUM
3GS6HIU2TPOWCI60623GJPHNXRA0MS,2021-08-12 07:48:26 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,3RANCT1ZVGINFMKQ3XRP4N01HCEBUM
3VIDYDX5RK0V7J0YR6XJ5H1MIAI53U,2021-08-12 07:48:26 -0700,2021-08-12 13:18:07 -0700,AssignmentPayment,,A38Z2PI7OWN4KY,-2.000,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,3WZ36BJEV4H8F9513S1FZREZYY7BTV
3VP41WQTZKEKCLRCJIITBT6SSRP0O7,2021-08-12 07:48:26 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,3WZ36BJEV4H8F9513S1FZREZYY7BTV
3C2OJ1QCYGAYLYN25PLCKEZ6W6955K,2021-08-12 07:48:26 -0700,2021-08-12 14:10:37 -0700,AssignmentPayment,,A3NXT3OVGL7QNR,-2.000,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,30MVJZJNHNEVDDUZTE9F6FW0CWD9JE
3T9IXNWOP8ENXX4SYVAX0Y1S7S70QF,2021-08-12 07:48:26 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,30MVJZJNHNEVDDUZTE9F6FW0CWD9JE
3Q4DM65EWJ4H0GL11VRB2HW5EW9CGH,2021-08-12 07:48:26 -0700,2021-08-12 12:12:12 -0700,AssignmentPayment,,A2I6ZALE49CVSC,-2.000,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,3570Y55XZQK0NCC6TKGS8JXBTDHGY6
32DRFK7RN4WHYIPE8KXXSCZ2IER81F,2021-08-12 07:48:26 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,3570Y55XZQK0NCC6TKGS8JXBTDHGY6
395W1N6NIANTO9QZ4PTOLVCN351H8F,2021-08-12 07:48:26 -0700,2021-08-12 13:29:25 -0700,AssignmentPayment,,A23KAJRDVCVGOE,-2.000,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,336YQZE83WF2DYY8TL9QARJFUUPM54
32P89HOQN0JKJ5R0RFXC04EG0O3CTY,2021-08-12 07:48:26 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3PIOQ99R7ZNNTBBTGKRW6Y48DJFNU8,336YQZE83WF2DYY8TL9QARJFUUPM54
3X9O53E3WCDHRFO77MBIV6X0BR2UTY,2021-08-12 19:07:16 -0700,2021-08-13 02:54:41 -0700,AssignmentPayment,,ARLGZWN6W91WD,-2.000,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,37WLF8U1WQR36EYJDS6FNK5B2TUK6L
321KY3KYLLFMONJM629CLN3W1UVQE7,2021-08-12 19:07:16 -0700,2021-08-13 01:23:21 -0700,FeePayment,,Mechanical Turk,-0.400,3WPCIUYH1B9Z7M5RRLNJ5X6CG16TD5,37WLF8U1WQR36EYJDS6FNK5B2TUK6L
32C3XX91XXR77XJE1ND2HMIITUGHA0,2021-08-12 19:08:31 -0700,2021-08-13 01:52:38 -0700,AssignmentPayment,,AOQFILMR6U7X5,-2.000,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,3SB5N7Y3O453QHGLLC5JGR3RI9R0GX
38KYXHRBZDZZWXVPWAXR1M21XAYCVV,2021-08-12 19:08:31 -0700,2021-08-13 01:23:21 -0700,FeePayment,,Mechanical Turk,-0.400,3E9ZFLPWOZTNWEUXO9PRLX7VL22IXF,3SB5N7Y3O453QHGLLC5JGR3RI9R0GX
3EH367H92V013H85CCPIM3IOTXJK51,2021-08-12 19:10:36 -0700,2021-08-13 02:45:52 -0700,AssignmentPayment,,A348NEQKS6VNIB,-2.000,3Z3R5YC0P4OW56JNIRI9TX9XSEMTFG,39K0FND3AIGZJ4APOH07I2Z1NESAMD
3KX323Y34VKEU1JI1DTI35OWDVBFQF,2021-08-12 19:10:36 -0700,2021-08-13 01:23:21 -0700,FeePayment,,Mechanical Turk,-0.400,3Z3R5YC0P4OW56JNIRI9TX9XSEMTFG,39K0FND3AIGZJ4APOH07I2Z1NESAMD
3P2RZEO5CYEGQLMO054FKNWKK3EK7G,2021-08-12 19:10:36 -0700,2021-08-13 01:28:26 -0700,AssignmentPayment,,A373BJ7K3G0DSJ,-2.000,3Z3R5YC0P4OW56JNIRI9TX9XSEMTFG,3U84XHCDIDEKGMTRU5GAD19A92D4ZZ
3YTU8YOR4Y5Q7HYVTHINY53XVJWFS4,2021-08-12 19:10:36 -0700,2021-08-13 01:23:21 -0700,FeePayment,,Mechanical Turk,-0.400,3Z3R5YC0P4OW56JNIRI9TX9XSEMTFG,3U84XHCDIDEKGMTRU5GAD19A92D4ZZ
3B9GK01O76I5VOSI3ULTTZ1CB1OMXI,2021-08-12 19:14:50 -0700,2021-08-13 01:31:21 -0700,AssignmentPayment,,A2VO8C41JJIQY9,-2.000,3Z3R5YC0P4OW56JNIRI9TX9XSEMTFG,3MD9PLUKKJF62U3XCAV6CAFA1SUNZI
3OR6FND3ZA4LNUXPPDUUX0A22DMII6,2021-08-12 19:14:50 -0700,2021-08-13 01:23:21 -0700,FeePayment,,Mechanical Turk,-0.400,3Z3R5YC0P4OW56JNIRI9TX9XSEMTFG,3MD9PLUKKJF62U3XCAV6CAFA1SUNZI
3O0GZ8R0CJQP9JNHL4QHYR6LENY825,2021-08-12 19:19:27 -0700,2021-08-13 01:54:27 -0700,AssignmentPayment,,A3QXFWX1PVH5MJ,-2.000,3J06WJ78HOL0EV92N1NSC104DTQVVM,36H9ULYP63V4ENLCW097GBIBG3TJFK
3VSZWZ75JTMYBSQX1Q0ZY24U5UJ3N7,2021-08-12 19:19:27 -0700,2021-08-13 01:23:21 -0700,FeePayment,,Mechanical Turk,-0.400,3J06WJ78HOL0EV92N1NSC104DTQVVM,36H9ULYP63V4ENLCW097GBIBG3TJFK
32DU0YB8MWUDF53KJW8CBCMTYJPIK9,2021-08-12 19:19:27 -0700,2021-08-12 23:44:35 -0700,AssignmentPayment,,A2EOQHCCZDQDVC,-2.000,3J06WJ78HOL0EV92N1NSC104DTQVVM,3WQ3B2KGE9H76PTS19H5TLV47O2B1R
3ZCEYU71PWTXV10OMAL9NC855Y9E5J,2021-08-12 19:19:27 -0700,2021-08-13 01:23:21 -0700,FeePayment,,Mechanical Turk,-0.400,3J06WJ78HOL0EV92N1NSC104DTQVVM,3WQ3B2KGE9H76PTS19H5TLV47O2B1R
38OKST0I587TZBKPSKTF9RQEAGFAM2,2021-08-12 19:21:27 -0700,2021-08-13 01:54:30 -0700,AssignmentPayment,,A20YKSTR76A8P4,-2.000,3U74KRR67NM8TYW4GF1M12I6U58TNN,3RXCAC0YISQL86LOGGIY969917Y8GN
3F3E6JW8UWC85QLS4LH898UOF6G675,2021-08-12 19:21:27 -0700,2021-08-13 01:23:21 -0700,FeePayment,,Mechanical Turk,-0.400,3U74KRR67NM8TYW4GF1M12I6U58TNN,3RXCAC0YISQL86LOGGIY969917Y8GN
3TA9VMWZHSC52J8UOHHZI605PHL0Q1,2021-08-15 05:41:47 -0700,2021-08-15 05:41:47 -0700,Prepayment,Discover (last 4 digits: 4581),ATEPFMI3X7UCH,300.000,,
3Y0ZPAJGPLZFSIEP88BO9RVFDORRFU,2021-08-15 00:40:09 -0700,2021-08-15 05:50:47 -0700,AssignmentPayment,,A2Z1EKI1WJRPIW,-2.000,33EEIIWHK8889NDL12TI6E1WW61VQS,3QHK8ZVMINJKWWXWUJZOD04I51GBLK
3QXYNWUYO082U0R0I3IGW46N2NZN06,2021-08-15 00:40:09 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,33EEIIWHK8889NDL12TI6E1WW61VQS,3QHK8ZVMINJKWWXWUJZOD04I51GBLK
3W7L609S2OEDZ5P4WPZ7YDIM6MK1LE,2021-08-15 00:40:09 -0700,2021-08-15 08:13:13 -0700,AssignmentPayment,,A3HRSNL7UUFAZ0,-2.000,33EEIIWHK8889NDL12TI6E1WW61VQS,3YJ6NA41JCHG50A6A35CS5WFIGUPJL
3DHOU7PDTDA2K5RJMYL6377CH4VX61,2021-08-15 00:40:09 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,33EEIIWHK8889NDL12TI6E1WW61VQS,3YJ6NA41JCHG50A6A35CS5WFIGUPJL
3PMI4KNOTU93N5SP82FMB5MBBHK1NG,2021-08-15 00:40:09 -0700,2021-08-15 09:01:55 -0700,AssignmentPayment,,A3M565LUH3OHT3,-2.000,33EEIIWHK8889NDL12TI6E1WW61VQS,3LOTDFNYA80QK7LB3ZSM51CJI6CFWZ
3Y5H1ELNWRPPOJA7FDI4NL33NZLX8N,2021-08-15 00:40:09 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,33EEIIWHK8889NDL12TI6E1WW61VQS,3LOTDFNYA80QK7LB3ZSM51CJI6CFWZ
3RI91X5NRERTYIJ879J9HTMNPPXZAI,2021-08-15 00:40:10 -0700,2021-08-15 07:54:59 -0700,AssignmentPayment,,A3YBPCPM6E328,-2.000,33EEIIWHK8889NDL12TI6E1WW61VQS,3ND9UOO81L3CKZV7PAVK0EH3F2YLWA
331E17GH5HZVIRCPI1IRVSO74F5UVX,2021-08-15 00:40:10 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,33EEIIWHK8889NDL12TI6E1WW61VQS,3ND9UOO81L3CKZV7PAVK0EH3F2YLWA
3IV352F1L8DV32TR27QM9B7ZV9WE3V,2021-08-15 00:40:21 -0700,2021-08-15 08:01:52 -0700,AssignmentPayment,,A1NFBKUYYVUYWF,-2.000,3BA7SXOG1KRAACW86O78JQRTHU38R2,3AMW0RGHOE3COQ1RP1X4LCDWR00PNQ
3GIBVQD6PR328FFPJE1M447LV1Y9OJ,2021-08-15 00:40:21 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3BA7SXOG1KRAACW86O78JQRTHU38R2,3AMW0RGHOE3COQ1RP1X4LCDWR00PNQ
3IZTYMYYRK6I95I4R002XHQM3G7OGH,2021-08-15 00:40:21 -0700,2021-08-15 06:17:12 -0700,AssignmentPayment,,A2HB9QS3YC3XY,-2.000,3BA7SXOG1KRAACW86O78JQRTHU38R2,3KAKFY4PGV3D30LDUNN531EE05EI3R
3RLB9C27ZKP1TJRFH9U0IH8TDK0K11,2021-08-15 00:40:21 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3BA7SXOG1KRAACW86O78JQRTHU38R2,3KAKFY4PGV3D30LDUNN531EE05EI3R
3YKF2JRV1K9YDEIHD9AQCYCFDEITZX,2021-08-15 00:40:21 -0700,2021-08-15 07:14:46 -0700,AssignmentPayment,,A2YFQS0N1IAN9I,-2.000,3BA7SXOG1KRAACW86O78JQRTHU38R2,30LSNF239VWOIIPUQN90KR9MUREI2G
3BP9IPIFPUA4ABAH2B5QJDQRG06PKA,2021-08-15 00:40:22 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3BA7SXOG1KRAACW86O78JQRTHU38R2,30LSNF239VWOIIPUQN90KR9MUREI2G
3YEJ4BKAVSAHRXG6RNF0NOCBPSIZCK,2021-08-15 00:40:21 -0700,2021-08-15 05:25:23 -0700,AssignmentPayment,,A1BISRD579W10W,-2.000,3BA7SXOG1KRAACW86O78JQRTHU38R2,379J5II41PHI3Z9G4A1EE8A38YYELS
3TPE4SSULWCNMGHKIGJ9JDLSKQDUX0,2021-08-15 00:40:21 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3BA7SXOG1KRAACW86O78JQRTHU38R2,379J5II41PHI3Z9G4A1EE8A38YYELS
3MK2IGEUOKX3QQ42OHSEFUR6BWL1PC,2021-08-15 00:40:21 -0700,2021-08-15 08:26:04 -0700,AssignmentPayment,,A2I4QYINF6WSY5,-2.000,3BA7SXOG1KRAACW86O78JQRTHU38R2,3E13VNJ1NOWHTX7Y7J9MF8ZH2L0I1Z
3RCOXOO1BET3773MCB2IJC9YDNLXAR,2021-08-15 00:40:21 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3BA7SXOG1KRAACW86O78JQRTHU38R2,3E13VNJ1NOWHTX7Y7J9MF8ZH2L0I1Z
3X0OAUF5FHDGIVCY53R8P0E5JDCU10,2021-08-15 00:40:29 -0700,2021-08-15 05:38:12 -0700,AssignmentPayment,,A1GCPUVJUJ27HT,-2.000,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3C44YUNSI2Q32EAE07J1P712DWUDPS
3ZIOFN2TLLGZ0ZAKNNI6YQIV551PMF,2021-08-15 00:40:29 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3C44YUNSI2Q32EAE07J1P712DWUDPS
3DSSMCA65NN8DZDDVN74O4OPUG5JT2,2021-08-15 00:40:30 -0700,2021-08-15 06:09:41 -0700,AssignmentPayment,,A1U4DNYKF6YUY3,-2.000,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3OXV7EAXLFRXAGQCSMEG6YO9REF63H
34LN9J322UBPXYTDSMYI9OZIUXNFED,2021-08-15 00:40:30 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3OXV7EAXLFRXAGQCSMEG6YO9REF63H
39BIDXP4XFGFUGMX0X81D79V7CTJXL,2021-08-15 00:40:30 -0700,2021-08-15 06:47:36 -0700,AssignmentPayment,,A8Q3CXMIF3HJ9,-2.000,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3QHK8ZVMINJKWWXWUJZOD04I51HBLL
354OWLF5S7S1D3VZO5O9U3XAMQUFIM,2021-08-15 00:40:30 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3QHK8ZVMINJKWWXWUJZOD04I51HBLL
3DN33T794IXZ6E5V3YZOCC7ST34RHS,2021-08-15 00:40:30 -0700,2021-08-15 07:49:36 -0700,AssignmentPayment,,A3AUW27JCGTN1M,-2.000,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3VE8AYVF8NYFU6PT5WCGRL9X0ZAF8L
3B374G5JCTF9QAUEXQMUFSZ2ZLJN2Q,2021-08-15 00:40:30 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3VE8AYVF8NYFU6PT5WCGRL9X0ZAF8L
3395U50T8OKCSYQDS75RDTT2HXQU3S,2021-08-15 00:40:30 -0700,2021-08-15 05:29:58 -0700,AssignmentPayment,,A2LGHM6LX5NK5M,-2.000,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3DPNQGW4LMGISC9GS0JZG3GF5EB642
3EFMZ1YKRG6N02VW03XJQU7005GPOU,2021-08-15 00:40:30 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HA5ODM5KBTKM3SYT6IN1EGXEUMVSH,3DPNQGW4LMGISC9GS0JZG3GF5EB642
3ZFEQQ88S4NYHHGVGQEFO85J95NE5L,2021-08-15 00:40:42 -0700,2021-08-15 07:26:20 -0700,AssignmentPayment,,A2BABL5AHUOYC7,-2.000,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,3H7XDTSHKDSWY7H6EJY4NMCVJLCWGF
3E2PRHJ1FF35TRS5YRTQT92LA2G9QR,2021-08-15 00:40:42 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,3H7XDTSHKDSWY7H6EJY4NMCVJLCWGF
3BT59MIIHFRLCAVKCFUFQB4U9T7N9A,2021-08-15 00:40:42 -0700,2021-08-15 07:10:13 -0700,AssignmentPayment,,A1FJDW88RVU39U,-2.000,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,3LBXNTKX0SWW8XZOAIOGXO4FOAY9X5
38M7HOMSWDUQWLSPJUJ8G3YDWD9IUO,2021-08-15 00:40:42 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,3LBXNTKX0SWW8XZOAIOGXO4FOAY9X5
3KTGFTT0FKUF6DDH6QTKSQRMVTHU5I,2021-08-15 00:40:42 -0700,2021-08-15 07:22:21 -0700,AssignmentPayment,,A3V8EWU6TZWX2U,-2.000,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,345LHZDEDYTICRGDO4CJM42PU0WU36
3CZ0VS4FH46QLE8CFGPNFZ20F6YPQ2,2021-08-15 00:40:42 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,345LHZDEDYTICRGDO4CJM42PU0WU36
3VE4800WPN8UTHR0UJ8HQA5IMZCU7X,2021-08-15 00:40:42 -0700,2021-08-15 05:38:45 -0700,AssignmentPayment,,ATITVDQ6OAT92,-2.000,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,3YGXWBAF71I78TIH2RW2238P10M4CS
3QVR1NU3H7R2YUNP7KESAZH1XUJPSR,2021-08-15 00:40:42 -0700,2021-08-15 06:14:56 -0700,FeePayment,,Mechanical Turk,-0.400,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,3YGXWBAF71I78TIH2RW2238P10M4CS
3GBHQZFWF3JQEER6IMRCEB386I6WG1,2021-08-15 00:40:42 -0700,2021-08-15 05:57:48 -0700,AssignmentPayment,,A3CJ44QFFGQ9JG,-2.000,3HEADTGN2QT8LOSLEHIIB4B1SS3VRT,3U4J9857OFCLHB8UQPYEUVMHAHC7B8
